Player,Map,Category,Outcome,Accuracy,DamageDone,DamageTaken,ShotsFired,ShotsLanded,ShotsMissed,KD,KDA,Kills,Deaths,Assists,Betrayals,Suicides,Score,Perfects,Medals,TeamOutcome,TeamScore,LengthSeconds,TeamGameScore
Patotally,Recharge - Ranked,Strongholds,Win,51.42,5358,3561,212,109,103,2.29,12.33,16,7,10,1,0,2500,3,12,Win,8135,474,51
ShadowKillxr,Recharge - Ranked,Strongholds,Win,59.35,4804,2433,246,146,100,4.4,18.66,22,5,5,0,0,2675,2,13,Win,8135,474,51
AThaiKiwi,Recharge - Ranked,Strongholds,Win,50.0,3247,2465,150,75,75,1.33,4.33,8,6,7,0,0,1460,0,5,Win,8135,474,51
J7 ZeR,Recharge - Ranked,Strongholds,Win,40.8,2472,2747,125,51,74,1.57,4.66,11,7,2,0,0,1500,0,1,Win,8135,474,51
PossiblyTom,Recharge - Ranked,Strongholds,Loss,67.18,3991,3833,131,88,43,1.0,0.33,13,13,1,0,0,1500,1,6,Loss,3825,474,250
PlungedGiraffe,Recharge - Ranked,Strongholds,Loss,44.09,2997,3703,186,82,104,0.29,-7.66,4,14,7,0,0,1050,0,1,Loss,3825,474,250
Vader2908,Recharge - Ranked,Strongholds,Loss,52.59,2597,4237,116,61,55,0.36,-8.33,5,14,2,0,0,950,0,2,Loss,3825,474,250
GameSheet681251,Recharge - Ranked,Strongholds,Loss,30.77,1267,4108,104,32,72,0.13,-14.0,2,16,0,0,0,325,0,0,Loss,3825,474,250

Patotally,Solitude - Ranked,King of the Hill,Win,52.0,721,313,25,13,12,3.0,3.0,3,0,0,0,0,310,2,4,Win,960,100,1
ShadowKillxr,Solitude - Ranked,King of the Hill,Win,61.29,671,175,31,19,12,1.0,1.0,1,0,0,0,0,100,0,0,Win,960,100,1
AThaiKiwi,Solitude - Ranked,King of the Hill,Win,46.15,552,209,26,12,14,2.0,2.33,2,0,1,0,0,250,0,1,Win,960,100,1
J7 ZeR,Solitude - Ranked,King of the Hill,Win,16.67,104,105,18,3,15,0.0,0.0,0,0,0,0,0,300,0,0,Win,960,100,1
pb7bb7,Solitude - Ranked,King of the Hill,Loss,50.0,140,749,6,3,3,0.0,-3.0,0,3,0,0,0,0,0,0,Loss,-200,100,0
TTVWhaabamm1,Solitude - Ranked,King of the Hill,Loss,0.0,0,493,17,0,17,0.0,-2.0,0,2,0,1,0,-100,0,0,Loss,-200,100,0
OthyYEHx,Solitude - Ranked,King of the Hill,Loss,63.16,418,666,19,12,7,0.0,-2.0,0,2,0,0,0,0,0,0,Loss,-200,100,0
Sir Britte,Solitude - Ranked,King of the Hill,Loss,26.92,244,703,26,7,19,0.0,-1.0,0,1,0,1,0,-100,0,0,Loss,-200,100,0

