Player,Map,Category,Outcome,Accuracy,DamageDone,DamageTaken,ShotsFired,ShotsLanded,ShotsMissed,KD,KDA,Kills,Deaths,Assists,Betrayals,Suicides,Score,Perfects,Medals,TeamOutcome,TeamScore,LengthSeconds,TeamGameScore
La Catarina,Solitude - Ranked,King of the Hill,Win,63.04,3485,1838,138,87,51,3.75,13.66,15,4,8,0,0,2460,0,8,Win,8785,367,4
Manxcy,Solitude - Ranked,King of the Hill,Win,52.8,4530,2990,214,113,101,3.0,14.33,15,5,13,0,0,2360,1,10,Win,8785,367,4
TheMageLord,Solitude - Ranked,King of the Hill,Win,40.82,2516,2378,147,60,87,2.2,9.0,11,5,9,0,0,1785,1,3,Win,8785,367,4
BML 1999,Solitude - Ranked,King of the Hill,Win,50.0,3058,2684,164,82,82,1.5,7.66,12,8,11,0,0,2180,0,4,Win,8785,367,4
being0003,Solitude - Ranked,King of the Hill,Loss,61.27,4227,3485,173,106,67,0.77,-2.33,10,13,2,0,0,1100,0,8,Loss,3035,367,0
X2 PhantomZ,Solitude - Ranked,King of the Hill,Loss,46.08,1800,3506,102,47,55,0.29,-9.0,4,14,3,0,0,625,0,1,Loss,3035,367,0
LAYZ2,Solitude - Ranked,King of the Hill,Loss,42.11,1330,3180,95,40,55,0.17,-9.0,2,12,3,0,0,535,0,0,Loss,3035,367,0
Stratic bladeR,Solitude - Ranked,King of the Hill,Loss,47.62,2391,3476,126,60,66,0.43,-7.0,6,14,3,0,0,775,0,2,Loss,3035,367,0

La Catarina,Live Fire - Ranked,Strongholds,Win,60.71,3605,1965,140,85,55,2.5,11.33,15,6,7,0,0,2135,3,12,Win,8065,454,49
Manxcy,Live Fire - Ranked,Strongholds,Win,52.78,4285,3988,180,95,85,1.3,6.0,13,10,9,0,0,1885,0,4,Win,8065,454,49
TheMageLord,Live Fire - Ranked,Strongholds,Win,51.08,3373,3905,139,71,68,1.0,3.0,10,10,9,0,0,1835,1,3,Win,8065,454,49
BML 1999,Live Fire - Ranked,Strongholds,Win,56.93,3361,2501,137,78,59,2.83,13.33,17,6,7,0,0,2210,2,9,Win,8065,454,49
being0003,Live Fire - Ranked,Strongholds,Loss,58.86,4430,4018,158,93,65,0.86,-0.66,12,14,4,0,0,1550,0,2,Loss,4575,454,250
Stratic bladeR,Live Fire - Ranked,Strongholds,Loss,51.24,3139,4126,121,62,59,0.41,-8.0,7,17,6,0,0,1225,1,2,Loss,4575,454,250
LAYZ2,Live Fire - Ranked,Strongholds,Loss,48.86,1930,3145,88,43,45,0.45,-5.66,5,11,1,0,0,700,0,5,Loss,4575,454,250
X2 PhantomZ,Live Fire - Ranked,Strongholds,Loss,38.1,2707,3599,147,56,91,0.62,-4.33,8,13,2,0,0,1100,1,5,Loss,4575,454,250

Manxcy,Forbidden - Ranked,CTF 3 Captures,Win,44.84,6519,6588,339,152,187,0.76,0.33,16,21,16,0,0,2920,0,6,Win,12635,883,3
BML 1999,Forbidden - Ranked,CTF 3 Captures,Win,54.92,8107,6465,315,173,142,1.89,19.66,34,18,11,0,0,4105,3,20,Win,12635,883,3
La Catarina,Forbidden - Ranked,CTF 3 Captures,Win,64.93,7352,6077,268,174,94,2.09,17.33,23,11,16,0,0,3505,2,8,Win,12635,883,3
TheMageLord,Forbidden - Ranked,CTF 3 Captures,Win,48.98,5521,6744,245,120,125,0.61,-6.0,14,23,9,0,1,2105,0,2,Win,12635,883,3
Faffy Woffle,Forbidden - Ranked,CTF 3 Captures,Loss,57.3,8235,8061,281,161,120,1.08,3.66,27,25,5,0,0,3220,2,8,Loss,9885,883,2
reece roodles,Forbidden - Ranked,CTF 3 Captures,Loss,56.16,6482,6437,292,164,128,0.78,-3.66,18,23,4,0,0,2085,0,3,Loss,9885,883,2
Foot6all Maniac,Forbidden - Ranked,CTF 3 Captures,Loss,57.31,6227,6675,260,149,111,0.89,2.0,17,19,12,0,0,3035,1,3,Loss,9885,883,2
unders3390,Forbidden - Ranked,CTF 3 Captures,Loss,46.91,4648,6708,243,114,129,0.5,-8.33,10,20,5,0,0,1545,0,4,Loss,9885,883,2

La Catarina,Streets - Ranked,Oddball,Win,63.26,12410,9789,460,291,169,1.78,26.0,41,23,24,0,0,5440,3,16,Win,20640,1322,2
TheMageLord,Streets - Ranked,Oddball,Win,43.79,8955,11033,443,194,249,1.06,6.0,33,31,12,0,0,4700,4,13,Win,20640,1322,2
Manxcy,Streets - Ranked,Oddball,Win,49.18,9892,10998,425,209,216,0.76,1.0,25,33,27,0,0,4860,2,10,Win,20640,1322,2
BML 1999,Streets - Ranked,Oddball,Win,54.92,12416,11862,528,290,238,1.23,15.66,43,35,23,0,0,5640,3,20,Win,20640,1322,2
Faffy Woffle,Streets - Ranked,Oddball,Loss,60.73,10617,10993,303,184,119,0.97,2.0,33,34,9,0,0,4800,3,19,Loss,16425,1322,1
unders3390,Streets - Ranked,Oddball,Loss,51.54,9239,11603,390,201,189,0.56,-13.66,23,41,13,0,0,3155,2,12,Loss,16425,1322,1
